date,type,electricity_consumption_kWh
2005-01-01,Industrial,5080030635.0
2005-02-01,Industrial,4987265812.0
2005-03-01,Industrial,5793325649.0
2005-04-01,Industrial,5218527642.0
2005-05-01,Industrial,5781862750.0
2005-06-01,Industrial,5591628477.0
2005-07-01,Industrial,5543489082.0
2005-08-01,Industrial,5504181444.0
2005-09-01,Industrial,5522383744.0
2005-10-01,Industrial,5653896179.0
2005-11-01,Industrial,5475710352.0
2005-12-01,Industrial,5213092394.0
2005-01-01,Government & Non-Profit,270918216.0
2005-02-01,Government & Non-Profit,303927074.0
2005-03-01,Government & Non-Profit,327107900.0
2005-04-01,Government & Non-Profit,305772652.0
2005-05-01,Government & Non-Profit,346099453.0
2005-06-01,Government & Non-Profit,360938337.0
2005-07-01,Government & Non-Profit,340800531.0
2005-08-01,Government & Non-Profit,333946555.0
2005-09-01,Government & Non-Profit,359517157.0
2005-10-01,Government & Non-Profit,314650123.0
2005-11-01,Government & Non-Profit,308384786.0
2005-12-01,Government & Non-Profit,276412590.0
2005-01-01,Agriculture,29310106.0
2005-02-01,Agriculture,32946426.000000004
2005-03-01,Agriculture,36097487.0
2005-04-01,Agriculture,23873230.0
2005-05-01,Agriculture,21929536.0
2005-06-01,Agriculture,16691630.0
2005-07-01,Agriculture,19397872.0
2005-08-01,Agriculture,18296106.0
2005-09-01,Agriculture,10465815.0
2005-10-01,Agriculture,13376761.0
2005-11-01,Agriculture,11497776.0
2005-12-01,Agriculture,15474702.0
2005-01-01,Other,138890483.4
2005-02-01,Other,148929052.6
2005-03-01,Other,157644157.4
2005-04-01,Other,147316028.0
2005-05-01,Other,167929266.5
2005-06-01,Other,179242942.2
2005-07-01,Other,144413782.6
2005-08-01,Other,160323120.3
2005-09-01,Other,139880508.9
2005-10-01,Other,170788716.1
2005-11-01,Other,164763122.2
2005-12-01,Other,165359662.6
2005-01-01,Free of Charge,109007609.0
2005-02-01,Free of Charge,97472907.0
2005-03-01,Free of Charge,103245262.0
2005-04-01,Free of Charge,104866872.0
2005-05-01,Free of Charge,104083275.0
2005-06-01,Free of Charge,103815814.0
2005-07-01,Free of Charge,103318574.0
2005-08-01,Free of Charge,104191097.0
2005-09-01,Free of Charge,105059580.0
2005-10-01,Free of Charge,110257575.0
2005-11-01,Free of Charge,108419979.0
2005-12-01,Free of Charge,110218892.0
2006-01-01,Residential,1888102773.0
2006-02-01,Residential,1958184299.0
2006-03-01,Residential,2321091528.0
2006-04-01,Residential,2446420780.0
2006-05-01,Residential,2403273276.0
2006-06-01,Residential,2313951989.0
2006-07-01,Residential,2300436208.0
2006-08-01,Residential,2285862112.0
2006-09-01,Residential,2273097675.0
2006-10-01,Residential,2252159918.0
2006-11-01,Residential,2251648336.0
2006-12-01,Residential,2153154021.0
2006-01-01,Business,1860905827.0
2006-02-01,Business,1860989442.0
2006-03-01,Business,2179930495.0
2006-04-01,Business,2046012290.0
2006-05-01,Business,2129356287.0
2006-06-01,Business,2095249590.0
2006-07-01,Business,2149832849.0
2006-08-01,Business,2153776468.0
2006-09-01,Business,2084513145.0
2006-10-01,Business,2119001745.0
2006-11-01,Business,2144805445.9999998
2006-12-01,Business,1994023436.0
2006-01-01,Industrial,5206525349.0
2006-02-01,Industrial,5252872531.0
2006-03-01,Industrial,6023140517.0
2006-04-01,Industrial,5448909656.0
2006-05-01,Industrial,6029811475.0
2006-06-01,Industrial,5867624201.0
2006-07-01,Industrial,5887618811.0
2006-08-01,Industrial,5898411312.0
2006-09-01,Industrial,5815582414.0
2006-10-01,Industrial,5805834328.0
2006-11-01,Industrial,5737418633.0
2006-12-01,Industrial,5387982120.0
2006-01-01,Government & Non-Profit,273842657.0
2006-02-01,Government & Non-Profit,289073835.0
2006-03-01,Government & Non-Profit,342412865.0
2006-04-01,Government & Non-Profit,310030919.0
2006-05-01,Government & Non-Profit,317806931.0
2006-06-01,Government & Non-Profit,353256635.0
2006-07-01,Government & Non-Profit,357057260.0
2006-08-01,Government & Non-Profit,353784421.0
2006-09-01,Government & Non-Profit,376813163.0
2006-10-01,Government & Non-Profit,342449602.0
2006-11-01,Government & Non-Profit,337953379.0
2006-12-01,Government & Non-Profit,324576867.0
2006-01-01,Agriculture,27593315.0
2006-02-01,Agriculture,32848124.0
2006-03-01,Agriculture,35136667.0
2006-04-01,Agriculture,27995449.0
2006-05-01,Agriculture,17774755.0
2006-06-01,Agriculture,15236818.0
2006-07-01,Agriculture,19217771.0
2006-08-01,Agriculture,20125907.0
2006-09-01,Agriculture,10840956.0
2006-10-01,Agriculture,4884018.0
2006-11-01,Agriculture,10012378.0
2006-12-01,Agriculture,18351515.0
2006-01-01,Other,144442700.1
2006-02-01,Other,147498271.0
2006-03-01,Other,164274912.5
2006-04-01,Other,159659171.1
